government,government_level,tax,revenue_category,year,power_code_code,value
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2004,600000,4001.294
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2005,600000,4437.224
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2006,600000,6344.029
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2007,600000,6775.955
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2008,600000,8280.234
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2009,600000,8915.884
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2010,600000,8600.519
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2011,600000,8974.107
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2012,600000,12518.157
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2013,600000,13091.262
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2014,600000,14353.194
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2015,600000,14849.923
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2016,600000,13452.542
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2017,600000,14882.326
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2018,600000,15979.815
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2019,600000,16176.818
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2020,600000,18620.749
FED,Federal or Central government,TOTAL,Total tax and non-tax revenue,2021,600000,19131.238
NES,Total,TOTAL,Total tax and non-tax revenue,2004,600000,4001.294
NES,Total,TOTAL,Total tax and non-tax revenue,2005,600000,4437.224
NES,Total,TOTAL,Total tax and non-tax revenue,2006,600000,6344.029
NES,Total,TOTAL,Total tax and non-tax revenue,2007,600000,6775.955
NES,Total,TOTAL,Total tax and non-tax revenue,2008,600000,8280.234
NES,Total,TOTAL,Total tax and non-tax revenue,2009,600000,8915.884
NES,Total,TOTAL,Total tax and non-tax revenue,2010,600000,8600.519
NES,Total,TOTAL,Total tax and non-tax revenue,2011,600000,8974.107
NES,Total,TOTAL,Total tax and non-tax revenue,2012,600000,12518.157
NES,Total,TOTAL,Total tax and non-tax revenue,2013,600000,13091.262
NES,Total,TOTAL,Total tax and non-tax revenue,2014,600000,14353.194
NES,Total,TOTAL,Total tax and non-tax revenue,2015,600000,14849.923
NES,Total,TOTAL,Total tax and non-tax revenue,2016,600000,13452.542
NES,Total,TOTAL,Total tax and non-tax revenue,2017,600000,14882.326
NES,Total,TOTAL,Total tax and non-tax revenue,2018,600000,15979.815
NES,Total,TOTAL,Total tax and non-tax revenue,2019,600000,16176.818
NES,Total,TOTAL,Total tax and non-tax revenue,2020,600000,18620.749
NES,Total,TOTAL,Total tax and non-tax revenue,2021,600000,19131.238
FED,Federal or Central government,TOTALTAX,Total tax revenue,2004,600000,1446.374
FED,Federal or Central government,TOTALTAX,Total tax revenue,2005,600000,1462.424
FED,Federal or Central government,TOTALTAX,Total tax revenue,2006,600000,1543.869
FED,Federal or Central government,TOTALTAX,Total tax revenue,2007,600000,1836.545
FED,Federal or Central government,TOTALTAX,Total tax revenue,2008,600000,2221.514
FED,Federal or Central government,TOTALTAX,Total tax revenue,2009,600000,2595.144
FED,Federal or Central government,TOTALTAX,Total tax revenue,2010,600000,2932.699
FED,Federal or Central government,TOTALTAX,Total tax revenue,2011,600000,3394.427
FED,Federal or Central government,TOTALTAX,Total tax revenue,2012,600000,3539.267
FED,Federal or Central government,TOTALTAX,Total tax revenue,2013,600000,4421.882
FED,Federal or Central government,TOTALTAX,Total tax revenue,2014,600000,5182.304
FED,Federal or Central government,TOTALTAX,Total tax revenue,2015,600000,5872.243
FED,Federal or Central government,TOTALTAX,Total tax revenue,2016,600000,5994.806
FED,Federal or Central government,TOTALTAX,Total tax revenue,2017,600000,6095.027
FED,Federal or Central government,TOTALTAX,Total tax revenue,2018,600000,7288.939
FED,Federal or Central government,TOTALTAX,Total tax revenue,2019,600000,7247.74
FED,Federal or Central government,TOTALTAX,Total tax revenue,2020,600000,6770.868
FED,Federal or Central government,TOTALTAX,Total tax revenue,2021,600000,7826.412
NES,Total,TOTALTAX,Total tax revenue,2004,600000,1446.374
NES,Total,TOTALTAX,Total tax revenue,2005,600000,1462.424
NES,Total,TOTALTAX,Total tax revenue,2006,600000,1543.869
NES,Total,TOTALTAX,Total tax revenue,2007,600000,1836.545
NES,Total,TOTALTAX,Total tax revenue,2008,600000,2221.514
NES,Total,TOTALTAX,Total tax revenue,2009,600000,2595.144
NES,Total,TOTALTAX,Total tax revenue,2010,600000,2932.699
NES,Total,TOTALTAX,Total tax revenue,2011,600000,3394.427
NES,Total,TOTALTAX,Total tax revenue,2012,600000,3539.267
NES,Total,TOTALTAX,Total tax revenue,2013,600000,4421.882
NES,Total,TOTALTAX,Total tax revenue,2014,600000,5182.304
NES,Total,TOTALTAX,Total tax revenue,2015,600000,5872.243
NES,Total,TOTALTAX,Total tax revenue,2016,600000,5994.806
NES,Total,TOTALTAX,Total tax revenue,2017,600000,6095.027
NES,Total,TOTALTAX,Total tax revenue,2018,600000,7288.939
NES,Total,TOTALTAX,Total tax revenue,2019,600000,7247.74
NES,Total,TOTALTAX,Total tax revenue,2020,600000,6770.868
NES,Total,TOTALTAX,Total tax revenue,2021,600000,7826.412
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2004,600000,786.558
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2005,600000,806.77
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2006,600000,829.284
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2007,600000,988.672
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2008,600000,1233.798
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2009,600000,1560.169
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2010,600000,1651.512
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2011,600000,2024.875
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2012,600000,1898.842
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2013,600000,2689.582
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2014,600000,3065.509
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2015,600000,3651.289
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2016,600000,3734.2
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2017,600000,3575.685
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2018,600000,4103.455
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2019,600000,4055.621
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2020,600000,3743.12
FED,Federal or Central government,1000,"1000 Taxes on income, profits and capital gains",2021,600000,4161.17
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2004,600000,786.558
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2005,600000,806.77
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2006,600000,829.284
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2007,600000,988.672
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2008,600000,1233.798
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2009,600000,1560.169
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2010,600000,1651.512
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2011,600000,2024.875
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2012,600000,1898.842
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2013,600000,2689.582
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2014,600000,3065.509
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2015,600000,3651.289
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2016,600000,3734.2
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2017,600000,3575.685
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2018,600000,4103.455
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2019,600000,4055.621
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2020,600000,3743.12
NES,Total,1000,"1000 Taxes on income, profits and capital gains",2021,600000,4161.17
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,600000,567.753
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,600000,617.883
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,600000,628.036
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,600000,716.208
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,600000,850.528
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,600000,866.185
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,600000,1179.647
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,600000,1469.101
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,600000,1445.721
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,600000,2072.014
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,600000,2158.683
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,600000,2484.098
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,600000,2695.462
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,600000,2751.488
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,600000,3111.605
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,600000,3142.412
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,600000,2850.863
FED,Federal or Central government,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,600000,3235.265
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2004,600000,567.753
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2005,600000,617.883
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2006,600000,628.036
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2007,600000,716.208
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2008,600000,850.528
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2009,600000,866.185
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2010,600000,1179.647
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2011,600000,1469.101
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2012,600000,1445.721
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2013,600000,2072.014
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2014,600000,2158.683
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2015,600000,2484.098
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2016,600000,2695.462
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2017,600000,2751.488
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2018,600000,3111.605
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2019,600000,3142.412
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2020,600000,2850.863
NES,Total,1100,"1100 Taxes on income, profits and capital gains of individuals",2021,600000,3235.265
FED,Federal or Central government,1110,1110 On income and profits of individuals,2004,600000,567.753
FED,Federal or Central government,1110,1110 On income and profits of individuals,2005,600000,617.883
FED,Federal or Central government,1110,1110 On income and profits of individuals,2006,600000,628.036
FED,Federal or Central government,1110,1110 On income and profits of individuals,2007,600000,716.208
FED,Federal or Central government,1110,1110 On income and profits of individuals,2008,600000,850.528
FED,Federal or Central government,1110,1110 On income and profits of individuals,2009,600000,866.185
FED,Federal or Central government,1110,1110 On income and profits of individuals,2010,600000,1179.647
FED,Federal or Central government,1110,1110 On income and profits of individuals,2011,600000,1469.101
FED,Federal or Central government,1110,1110 On income and profits of individuals,2012,600000,1445.721
FED,Federal or Central government,1110,1110 On income and profits of individuals,2013,600000,2072.014
FED,Federal or Central government,1110,1110 On income and profits of individuals,2014,600000,2158.683
FED,Federal or Central government,1110,1110 On income and profits of individuals,2015,600000,2484.098
FED,Federal or Central government,1110,1110 On income and profits of individuals,2016,600000,2695.462
FED,Federal or Central government,1110,1110 On income and profits of individuals,2017,600000,2751.488
FED,Federal or Central government,1110,1110 On income and profits of individuals,2018,600000,3111.605
FED,Federal or Central government,1110,1110 On income and profits of individuals,2019,600000,3142.412
FED,Federal or Central government,1110,1110 On income and profits of individuals,2020,600000,2850.863
FED,Federal or Central government,1110,1110 On income and profits of individuals,2021,600000,3235.265
NES,Total,1110,1110 On income and profits of individuals,2004,600000,567.753
NES,Total,1110,1110 On income and profits of individuals,2005,600000,617.883
NES,Total,1110,1110 On income and profits of individuals,2006,600000,628.036
NES,Total,1110,1110 On income and profits of individuals,2007,600000,716.208
NES,Total,1110,1110 On income and profits of individuals,2008,600000,850.528
NES,Total,1110,1110 On income and profits of individuals,2009,600000,866.185
NES,Total,1110,1110 On income and profits of individuals,2010,600000,1179.647
NES,Total,1110,1110 On income and profits of individuals,2011,600000,1469.101
NES,Total,1110,1110 On income and profits of individuals,2012,600000,1445.721
NES,Total,1110,1110 On income and profits of individuals,2013,600000,2072.014
NES,Total,1110,1110 On income and profits of individuals,2014,600000,2158.683
NES,Total,1110,1110 On income and profits of individuals,2015,600000,2484.098
NES,Total,1110,1110 On income and profits of individuals,2016,600000,2695.462
NES,Total,1110,1110 On income and profits of individuals,2017,600000,2751.488
NES,Total,1110,1110 On income and profits of individuals,2018,600000,3111.605
NES,Total,1110,1110 On income and profits of individuals,2019,600000,3142.412
NES,Total,1110,1110 On income and profits of individuals,2020,600000,2850.863
NES,Total,1110,1110 On income and profits of individuals,2021,600000,3235.265
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2004,600000,567.753
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2005,600000,617.883
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2006,600000,628.036
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2007,600000,716.208
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2008,600000,850.528
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2009,600000,866.185
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2010,600000,1179.647
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2011,600000,1469.101
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2012,600000,1445.721
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2013,600000,1644.675
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2014,600000,1651.341
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2015,600000,1736.5
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2016,600000,1965.013
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2017,600000,1977.036
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2018,600000,2212.087
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2019,600000,2295.861
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2020,600000,2022.619
FED,Federal or Central government,1110_L01_LSO,Personal income tax,2021,600000,2372.891
NES,Total,1110_L01_LSO,Personal income tax,2004,600000,567.753
NES,Total,1110_L01_LSO,Personal income tax,2005,600000,617.883
NES,Total,1110_L01_LSO,Personal income tax,2006,600000,628.036
NES,Total,1110_L01_LSO,Personal income tax,2007,600000,716.208
NES,Total,1110_L01_LSO,Personal income tax,2008,600000,850.528
NES,Total,1110_L01_LSO,Personal income tax,2009,600000,866.185
NES,Total,1110_L01_LSO,Personal income tax,2010,600000,1179.647
NES,Total,1110_L01_LSO,Personal income tax,2011,600000,1469.101
NES,Total,1110_L01_LSO,Personal income tax,2012,600000,1445.721
NES,Total,1110_L01_LSO,Personal income tax,2013,600000,1644.675
NES,Total,1110_L01_LSO,Personal income tax,2014,600000,1651.341
NES,Total,1110_L01_LSO,Personal income tax,2015,600000,1736.5
NES,Total,1110_L01_LSO,Personal income tax,2016,600000,1965.013
NES,Total,1110_L01_LSO,Personal income tax,2017,600000,1977.036
NES,Total,1110_L01_LSO,Personal income tax,2018,600000,2212.087
NES,Total,1110_L01_LSO,Personal income tax,2019,600000,2295.861
NES,Total,1110_L01_LSO,Personal income tax,2020,600000,2022.619
NES,Total,1110_L01_LSO,Personal income tax,2021,600000,2372.891
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2004,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2005,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2006,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2007,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2008,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2009,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2010,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2011,600000,0.0
FED,Federal or Central government,1110_L02_LSO,Withholding tax,2012,600000,0.0
