revenue_category,year,power_code_code,value
Total tax and non-tax revenue,2004,600000,0.24342298112450866
Total tax and non-tax revenue,2005,600000,0.26522178089788473
Total tax and non-tax revenue,2006,600000,0.36057209035553256
Total tax and non-tax revenue,2007,600000,0.3821706690055801
Total tax and non-tax revenue,2008,600000,0.4573925549145435
Total tax and non-tax revenue,2009,600000,0.489178408322078
Total tax and non-tax revenue,2010,600000,0.4734084945961799
Total tax and non-tax revenue,2011,600000,0.49208986548080824
Total tax and non-tax revenue,2012,600000,0.6693110623170744
Total tax and non-tax revenue,2013,600000,0.6979693357649233
Total tax and non-tax revenue,2014,600000,0.7610725931585782
Total tax and non-tax revenue,2015,600000,0.7859116636805183
Total tax and non-tax revenue,2016,600000,0.7160352417180013
Total tax and non-tax revenue,2017,600000,0.7875319846243778
Total tax and non-tax revenue,2018,600000,0.8424122244896837
Total tax and non-tax revenue,2019,600000,0.8522634137901548
Total tax and non-tax revenue,2020,600000,0.9744728568864015
Total tax and non-tax revenue,2021,600000,1.0000000000000002
Total tax and non-tax revenue,2004,600000,0.24342298112450866
Total tax and non-tax revenue,2005,600000,0.26522178089788473
Total tax and non-tax revenue,2006,600000,0.36057209035553256
Total tax and non-tax revenue,2007,600000,0.3821706690055801
Total tax and non-tax revenue,2008,600000,0.4573925549145435
Total tax and non-tax revenue,2009,600000,0.489178408322078
Total tax and non-tax revenue,2010,600000,0.4734084945961799
Total tax and non-tax revenue,2011,600000,0.49208986548080824
Total tax and non-tax revenue,2012,600000,0.6693110623170744
Total tax and non-tax revenue,2013,600000,0.6979693357649233
Total tax and non-tax revenue,2014,600000,0.7610725931585782
Total tax and non-tax revenue,2015,600000,0.7859116636805183
Total tax and non-tax revenue,2016,600000,0.7160352417180013
Total tax and non-tax revenue,2017,600000,0.7875319846243778
Total tax and non-tax revenue,2018,600000,0.8424122244896837
Total tax and non-tax revenue,2019,600000,0.8522634137901548
Total tax and non-tax revenue,2020,600000,0.9744728568864015
Total tax and non-tax revenue,2021,600000,1.0000000000000002
Total tax revenue,2004,600000,0.11566350249951371
Total tax revenue,2005,600000,0.11646608717219667
Total tax revenue,2006,600000,0.12053876683990161
Total tax revenue,2007,600000,0.13517411086869666
Total tax revenue,2008,600000,0.15442459179443432
Total tax revenue,2009,600000,0.17310806290063602
Total tax revenue,2010,600000,0.18998759369113444
Total tax revenue,2011,600000,0.21307642956331896
Total tax revenue,2012,600000,0.2203191936749327
Total tax revenue,2013,600000,0.2644545999602958
Total tax revenue,2014,600000,0.3024797116095748
Total tax revenue,2015,600000,0.3369803014218
Total tax revenue,2016,600000,0.34310909800984
Total tax revenue,2017,600000,0.3481206767313952
Total tax revenue,2018,600000,0.40782257528169225
Total tax revenue,2019,600000,0.405762407934037
Total tax revenue,2020,600000,0.38191629216882383
Total tax revenue,2021,600000,0.43469906075090925
Total tax revenue,2004,600000,0.11566350249951371
Total tax revenue,2005,600000,0.11646608717219667
Total tax revenue,2006,600000,0.12053876683990161
Total tax revenue,2007,600000,0.13517411086869666
Total tax revenue,2008,600000,0.15442459179443432
Total tax revenue,2009,600000,0.17310806290063602
Total tax revenue,2010,600000,0.18998759369113444
Total tax revenue,2011,600000,0.21307642956331896
Total tax revenue,2012,600000,0.2203191936749327
Total tax revenue,2013,600000,0.2644545999602958
Total tax revenue,2014,600000,0.3024797116095748
Total tax revenue,2015,600000,0.3369803014218
Total tax revenue,2016,600000,0.34310909800984
Total tax revenue,2017,600000,0.3481206767313952
Total tax revenue,2018,600000,0.40782257528169225
Total tax revenue,2019,600000,0.405762407934037
Total tax revenue,2020,600000,0.38191629216882383
Total tax revenue,2021,600000,0.43469906075090925
"1000 Taxes on income, profits and capital gains",2004,600000,0.08266922160287911
"1000 Taxes on income, profits and capital gains",2005,600000,0.08367992823242854
"1000 Taxes on income, profits and capital gains",2006,600000,0.08480574700630916
"1000 Taxes on income, profits and capital gains",2007,600000,0.09277598786671995
"1000 Taxes on income, profits and capital gains",2008,600000,0.10503358104280003
"1000 Taxes on income, profits and capital gains",2009,600000,0.12135385283147374
"1000 Taxes on income, profits and capital gains",2010,600000,0.1259214847166376
"1000 Taxes on income, profits and capital gains",2011,600000,0.14459160441426572
"1000 Taxes on income, profits and capital gains",2012,600000,0.13828928952004438
"1000 Taxes on income, profits and capital gains",2013,600000,0.17783046111364748
"1000 Taxes on income, profits and capital gains",2014,600000,0.19662879433780267
"1000 Taxes on income, profits and capital gains",2015,600000,0.22592088465333093
"1000 Taxes on income, profits and capital gains",2016,600000,0.23006687205500181
"1000 Taxes on income, profits and capital gains",2017,600000,0.22214028580015194
"1000 Taxes on income, profits and capital gains",2018,600000,0.24853157008064353
"1000 Taxes on income, profits and capital gains",2019,600000,0.24613961772967052
"1000 Taxes on income, profits and capital gains",2020,600000,0.2305129191129664
"1000 Taxes on income, profits and capital gains",2021,600000,0.25141762455939104
"1000 Taxes on income, profits and capital gains",2004,600000,0.08266922160287911
"1000 Taxes on income, profits and capital gains",2005,600000,0.08367992823242854
"1000 Taxes on income, profits and capital gains",2006,600000,0.08480574700630916
"1000 Taxes on income, profits and capital gains",2007,600000,0.09277598786671995
"1000 Taxes on income, profits and capital gains",2008,600000,0.10503358104280003
"1000 Taxes on income, profits and capital gains",2009,600000,0.12135385283147374
"1000 Taxes on income, profits and capital gains",2010,600000,0.1259214847166376
"1000 Taxes on income, profits and capital gains",2011,600000,0.14459160441426572
"1000 Taxes on income, profits and capital gains",2012,600000,0.13828928952004438
"1000 Taxes on income, profits and capital gains",2013,600000,0.17783046111364748
"1000 Taxes on income, profits and capital gains",2014,600000,0.19662879433780267
"1000 Taxes on income, profits and capital gains",2015,600000,0.22592088465333093
"1000 Taxes on income, profits and capital gains",2016,600000,0.23006687205500181
"1000 Taxes on income, profits and capital gains",2017,600000,0.22214028580015194
