,revenue_category,year,power_code_code,value,mean_value
0,Total tax and non-tax revenue,2004,600000,0.2434229811245086,0.6250242900626015
1,Total tax and non-tax revenue,2005,600000,0.2652217808978847,0.6250242900626015
2,Total tax and non-tax revenue,2006,600000,0.3605720903555325,0.6250242900626015
3,Total tax and non-tax revenue,2007,600000,0.38217066900558,0.6250242900626015
4,Total tax and non-tax revenue,2008,600000,0.4573925549145434,0.6250242900626015
5,Total tax and non-tax revenue,2009,600000,0.4891784083220779,0.6250242900626015
6,Total tax and non-tax revenue,2010,600000,0.4734084945961798,0.6250242900626015
7,Total tax and non-tax revenue,2011,600000,0.49208986548080813,0.6250242900626015
8,Total tax and non-tax revenue,2012,600000,0.6693110623170743,0.6250242900626015
9,Total tax and non-tax revenue,2013,600000,0.6979693357649231,0.6250242900626015
10,Total tax and non-tax revenue,2014,600000,0.761072593158578,0.6250242900626015
11,Total tax and non-tax revenue,2015,600000,0.7859116636805181,0.6250242900626015
12,Total tax and non-tax revenue,2016,600000,0.7160352417180011,0.6250242900626015
13,Total tax and non-tax revenue,2017,600000,0.7875319846243776,0.6250242900626015
14,Total tax and non-tax revenue,2018,600000,0.8424122244896834,0.6250242900626015
15,Total tax and non-tax revenue,2019,600000,0.6696123641044128,0.6250242900626015
16,Total tax and non-tax revenue,2020,600000,0.9744728568864013,0.6250242900626015
17,Total tax and non-tax revenue,2021,600000,1.0,0.6250242900626015
18,Total tax and non-tax revenue,2004,600000,0.2434229811245086,0.6250242900626015
19,Total tax and non-tax revenue,2005,600000,0.2652217808978847,0.6250242900626015
20,Total tax and non-tax revenue,2006,600000,0.3605720903555325,0.6250242900626015
21,Total tax and non-tax revenue,2007,600000,0.38217066900558,0.6250242900626015
22,Total tax and non-tax revenue,2008,600000,0.4573925549145434,0.6250242900626015
23,Total tax and non-tax revenue,2009,600000,0.42264610916451684,0.6250242900626015
24,Total tax and non-tax revenue,2010,600000,0.4734084945961798,0.6250242900626015
25,Total tax and non-tax revenue,2011,600000,0.49208986548080813,0.6250242900626015
26,Total tax and non-tax revenue,2012,600000,0.6693110623170743,0.6250242900626015
27,Total tax and non-tax revenue,2013,600000,0.6979693357649231,0.6250242900626015
28,Total tax and non-tax revenue,2014,600000,0.761072593158578,0.6250242900626015
29,Total tax and non-tax revenue,2015,600000,0.6491301732332759,0.6250242900626015
